feature,shap_h1,shap_h3,shap_h10,shap_h25,shap_avg,shap_max,rank_h1,rank_h3,rank_h10,rank_h25,rank_avg,drop_candidate
code,0.005108103,0.015567217,0.05239186,0.117246651,0.047578458,0.117246651,14,13,18,18,18,FALSE
feature_a,0.00048747,0.00113686,0.003779165,0.004385558,0.002447263,0.004385558,84,60,56,58,61,FALSE
feature_aa,0.00071024,0.000769269,0.000229011,0.00015952,0.00046701,0.000769269,74,69,85,80,81,TRUE
feature_ab,0.000839456,0.002580794,0.001822519,0.000412729,0.001413875,0.002580794,64,44,64,71,68,FALSE
feature_ac,0.001147536,0.003785901,0.024699208,0.018380206,0.012003213,0.024699208,46,39,32,43,38,FALSE
feature_ad,0.000907908,0.002225778,0.009391663,0.015442935,0.006992071,0.015442935,58,45,43,45,45,FALSE
feature_ae,0.0021892,0.001638697,0.004937195,0.010020426,0.004696379,0.010020426,31,54,51,49,49,FALSE
feature_af,0.004667533,0.016841867,0.089354625,0.082690166,0.048388548,0.089354625,15,11,11,21,17,FALSE
feature_ag,0.002727761,0.006871342,0.028117439,0.021058859,0.01469385,0.028117439,24,29,29,40,36,FALSE
feature_ah,0.001125969,0.003706979,0.001886393,0.004871525,0.002897717,0.004871525,48,40,62,56,58,FALSE
feature_ai,0.002920929,0.006997266,0.023288312,0.044819612,0.01950653,0.044819612,20,28,34,30,30,FALSE
feature_aj,0.002329267,0.009842844,0.022830343,0.009057026,0.01101487,0.022830343,29,23,35,50,39,FALSE
feature_ak,0.000866026,0.001858514,0.016138395,0.022124828,0.010246941,0.022124828,61,50,37,39,41,FALSE
feature_al,0.009580139,0.01070877,0.047000512,0.039252342,0.026635441,0.047000512,6,18,22,31,26,FALSE
feature_am,0.005975218,0.020944824,0.117850213,0.30974841,0.113629666,0.30974841,11,9,8,6,9,FALSE
feature_an,0.00080852,0.007222325,0.055215689,0.162786745,0.05650832,0.162786745,65,27,16,14,15,FALSE
feature_ao,0.001177407,0.002845226,0.054811248,0.506124701,0.141239646,0.506124701,45,43,17,4,7,FALSE
feature_ap,0.000778663,0.000831584,0.001904913,0.023990521,0.00687642,0.023990521,68,68,61,36,46,FALSE
feature_aq,0.003361127,0.018407794,0.064582336,0.1341617,0.055128239,0.1341617,18,10,14,16,16,FALSE
feature_ar,0.00213107,0.009188557,0.028434801,0.11438285,0.03853432,0.11438285,33,25,28,19,21,FALSE
feature_as,0.002171063,0.005119485,0.028806501,0.02766294,0.015939997,0.028806501,32,34,27,34,34,FALSE
feature_at,0.002707726,0.016159259,0.049065131,0.077488187,0.036355076,0.077488187,25,12,19,22,23,FALSE
feature_au,0.000741179,0.000623753,0.000639714,0.001105822,0.000777617,0.001105822,71,74,75,67,75,TRUE
feature_av,0.000952496,0.000684451,0.000745852,0.000764785,0.000786896,0.000952496,56,71,72,69,73,FALSE
feature_aw,0.000952807,0.000564728,0.001852593,0.000371832,0.00093549,0.001852593,55,76,63,74,70,FALSE
feature_ax,0.000563691,0.000178336,0.000517376,0.000662591,0.000480499,0.000662591,81,87,77,70,80,TRUE
feature_ay,0.001293662,0.001265023,0.001523071,0.005149194,0.002307737,0.005149194,44,58,67,55,65,FALSE
feature_az,0.000859395,0.001048877,0.006713082,0.014641585,0.005815735,0.014641585,62,63,48,46,47,FALSE
feature_b,0.000610885,0.001851157,0.000335927,0.000321479,0.000779862,0.001851157,78,51,80,76,74,FALSE
feature_ba,0.000602567,0.00016107,0.000357297,0.000173175,0.000323527,0.000602567,79,88,79,79,85,TRUE
feature_bb,0.000433407,0.000202067,0.000235042,0.000143054,0.000253392,0.000433407,86,86,84,81,87,TRUE
feature_bc,0.000334271,0.000282124,0.000307108,0.002474046,0.000849387,0.002474046,87,84,81,64,72,TRUE
feature_bd,0.000463508,0.001027545,0.003716431,0.006627911,0.002958849,0.006627911,85,65,57,53,57,FALSE
feature_be,0.000941159,0.00208537,0.002948812,0.004103518,0.002519715,0.004103518,57,47,58,59,60,FALSE
feature_bf,0.000730205,0.001043555,0.004234147,0.023396623,0.007351133,0.023396623,73,64,54,37,44,FALSE
feature_bg,0.002015753,0.014425296,0.113874937,0.2784573,0.102193321,0.2784573,34,15,9,11,11,FALSE
feature_bh,0.000701164,0.000329127,0.007161023,0.007736027,0.003981835,0.007736027,75,82,44,51,52,FALSE
feature_bi,0.000963371,0.000945312,0.000510583,0.00038258,0.000700462,0.000963371,54,66,78,73,76,FALSE
feature_bj,0.000764938,0.000905825,0.000706395,0.000177274,0.000638608,0.000905825,69,67,74,78,78,TRUE
feature_bk,0.000731819,0.001052945,0.001362609,0.000353473,0.000875212,0.001362609,72,62,68,75,71,FALSE
feature_bl,0.000539393,0.001408831,0.014979375,0.052296036,0.017305909,0.052296036,82,55,38,28,32,FALSE
feature_bm,0.001022067,0.000560403,0.011247023,0.004394519,0.004306003,0.011247023,50,77,42,57,51,FALSE
feature_bn,0.000856451,0.000522683,0.007117505,0.006975327,0.003867991,0.007117505,63,78,45,52,53,FALSE
feature_bo,0.000685137,0.001405418,0.004075367,0.004088149,0.002563518,0.004088149,76,56,55,60,59,FALSE
feature_bp,0.00547031,0.023110669,0.284942897,1.113286084,0.35670249,1.113286084,13,7,2,1,2,FALSE
feature_bq,0.001511207,0.00617745,0.027496225,0.149798227,0.046245777,0.149798227,43,32,30,15,19,FALSE
feature_br,0.000903242,0.00137435,0.004246608,0.002782003,0.002326551,0.004246608,59,57,53,62,64,FALSE
feature_bs,0.001829106,0.009870162,0.014534704,0.016056285,0.010572564,0.016056285,38,22,39,44,40,FALSE
feature_bt,0.001075719,0.001082251,0.004938227,0.002570934,0.002416783,0.004938227,49,61,50,63,62,FALSE
feature_bu,0.000998392,0.000728048,0.002605284,0.002934402,0.001816532,0.002934402,51,70,59,61,67,FALSE
feature_bv,0.000758899,0.000367935,0.000801229,0.000201126,0.000532297,0.000801229,70,81,71,77,79,TRUE
feature_bw,0.003660141,0.001794236,0.002282553,0.001618987,0.002338979,0.003660141,16,52,60,66,63,FALSE
feature_bx,0.002894639,0.003800106,0.000519652,0.011860075,0.004768618,0.011860075,21,38,76,48,48,FALSE
feature_by,0.03916458,0.067437939,0.275927912,0.290366806,0.168224309,0.290366806,2,3,5,9,4,FALSE
feature_bz,0.01688011,0.061210688,0.202318539,0.307184429,0.146898441,0.307184429,3,4,6,7,6,FALSE
feature_c,0.000664689,0.00047758,0.000255345,1.30E-06,0.000349729,0.000664689,77,79,83,87,84,TRUE
feature_ca,0.007373675,0.009664878,0.022740488,0.026991417,0.016692614,0.026991417,9,24,36,35,33,FALSE
feature_cb,0.00958458,0.054708354,0.094504798,0.125880523,0.071169564,0.125880523,5,5,10,17,13,FALSE
feature_cc,0.009972209,0.02248657,0.063870739,0.052547895,0.037219353,0.063870739,4,8,15,27,22,FALSE
feature_cd,0.007798918,0.01552321,0.024937138,0.022514264,0.017693383,0.024937138,8,14,31,38,31,FALSE
feature_ce,0.002279123,0.004066574,0.034133622,0.05306282,0.023385535,0.05306282,30,37,25,26,28,FALSE
feature_cf,0.00333057,0.010012189,0.041874342,0.112307689,0.041881198,0.112307689,19,21,23,20,20,FALSE
feature_cg,0.00934458,0.049123188,0.279021933,0.602907912,0.235099403,0.602907912,7,6,4,3,3,FALSE
feature_ch,6.05E-05,0.001140857,0.001660098,0.014578925,0.004360105,0.014578925,88,59,65,47,50,FALSE
feature_d,0.000997788,0.00041772,0.000306653,9.44E-06,0.000432901,0.000997788,52,80,82,86,82,FALSE
feature_e,0.000567787,0.000324937,0.000193396,7.70E-05,0.000290777,0.000567787,80,83,86,82,86,TRUE
feature_f,0.000498238,0.00023971,0.000148111,3.33E-05,0.000229848,0.000498238,83,85,88,84,88,TRUE
feature_g,0.000885943,0.00059839,0.000192903,2.33E-05,0.000425136,0.000885943,60,75,87,85,83,FALSE
feature_h,0.00153742,0.003276616,0.023862853,0.068531083,0.024301993,0.068531083,41,42,33,24,27,FALSE
feature_i,0.00289099,0.010635594,0.033260595,0.034238912,0.020256523,0.034238912,22,19,26,32,29,FALSE
feature_j,0.001879267,0.002029728,0.012583405,0.034015974,0.012627094,0.034015974,37,48,41,33,37,FALSE
feature_k,0.00079391,0.002118247,0.013327162,0.045487361,0.01543167,0.045487361,66,46,40,29,35,FALSE
feature_l,0.000983085,0.005774505,0.06586796,0.304201773,0.094206831,0.304201773,53,33,13,8,12,FALSE
feature_m,0.002733266,0.010421828,0.048248904,0.064369127,0.031443281,0.064369127,23,20,20,25,25,FALSE
feature_n,0.002650363,0.013455491,0.047219108,0.076155816,0.034870194,0.076155816,26,16,21,23,24,FALSE
feature_o,0.002377214,0.000632415,0.001054301,1.57E-07,0.001016022,0.002377214,28,73,70,88,69,FALSE
feature_p,0.002543254,0.0044683,0.001649863,0.000410316,0.002267933,0.0044683,27,36,66,72,66,FALSE
feature_q,0.000781864,0.001793638,0.004603452,0.006314455,0.003373352,0.006314455,67,53,52,54,55,FALSE
feature_r,0.001637167,0.003706428,0.03494142,0.194872838,0.058789463,0.194872838,40,41,24,13,14,FALSE
feature_s,0.006619206,0.006362009,0.001095735,0.000968959,0.003761477,0.006619206,10,31,69,68,54,FALSE
feature_t,0.003434017,0.006454371,0.006878907,0.020291063,0.00926459,0.020291063,17,30,46,41,42,FALSE
feature_u,0.005612356,0.069722654,0.279573569,0.285774568,0.160170787,0.285774568,12,2,3,10,5,FALSE
feature_v,0.001957815,0.011727316,0.0893286,0.374790178,0.119450977,0.374790178,36,17,12,5,8,FALSE
feature_w,0.001146139,0.000639783,0.000724364,7.33E-05,0.000645885,0.001146139,47,72,73,83,77,FALSE
feature_x,0.001513896,0.001925658,0.006404667,0.002277091,0.003030328,0.006404667,42,49,49,65,56,FALSE
feature_y,0.001705046,0.004557511,0.006869614,0.020139992,0.008318041,0.020139992,39,35,47,42,43,FALSE
feature_z,0.001981992,0.008081271,0.163513754,0.276862607,0.112609906,0.276862607,35,26,7,12,10,FALSE
sub_category,0.040224184,0.105915853,0.459979079,1.095536602,0.42541393,1.095536602,1,1,1,2,1,FALSE
